Query_ID,Document_ID,Rank
126,en.13.56.214.2010.5.28,1
126,en.2.319.348.2010.6.6,2
126,en.3.326.80.2009.9.5,3
126,en.15.147.229.2009.10.6,4
126,en.2.260.111.2009.4.29,5
126,en.15.147.222.2009.10.4,6
126,en.13.25.179.2009.11.8,7
126,en.15.136.355.2009.7.24,8
126,en.3.331.91.2009.10.11,9
126,en.15.151.83.2009.10.31,10
126,en.2.260.180.2009.4.29,11
126,en.3.326.404.2009.9.3,12
126,en.2.268.455.2009.6.18,13
126,en.2.279.7.1970.1.1,14
126,en.15.124.268.2009.5.15,15
126,en.3.322.338.2009.8.7,16
126,en.3.350.209.2010.2.18,17
126,en.15.136.10.2009.7.26,18
126,en.15.121.269.2009.4.27,19
126,en.2.260.462.2009.4.29,20
126,en.15.151.62.2009.11.4,21
126,en.13.8.362.2009.7.16,22
126,en.2.279.472.2009.8.30,23
126,en.15.147.224.2009.10.5,24
126,en.3.329.19.2009.9.22,25
126,en.2.277.4.2009.8.16,26
126,en.13.8.152.2009.7.16,27
126,en.3.322.206.2009.8.7,28
126,en.2.279.287.2009.8.31,29
126,en.15.125.223.2009.5.20,30
126,en.13.10.19.2009.7.30,31
126,en.15.121.129.2009.4.28,32
126,en.3.329.447.2009.9.22,33
126,en.3.331.451.2009.10.12,34
126,en.2.264.385.2009.5.28,35
126,en.3.326.347.2009.9.4,36
126,en.3.326.207.2009.9.3,37
126,en.2.317.224.2010.5.28,38
126,en.3.366.412.2010.5.26,39
126,en.15.121.142.2009.4.27,40
126,en.2.260.436.2009.5.1,41
126,en.15.125.170.2009.5.21,42
126,en.3.329.374.2009.9.27,43
126,en.2.279.180.2009.8.31,44
126,en.15.121.442.2009.4.28,45
126,en.13.1.53.2009.5.31,46
126,en.15.121.184.2009.4.28,47
126,en.2.281.331.2009.9.9,48
126,en.3.331.84.2009.10.10,49
126,en.3.331.441.2009.10.13,50
127,en.2.319.348.2010.6.6,1
127,en.13.56.214.2010.5.28,2
127,en.3.381.157.2007.7.24,3
127,en.15.136.240.2009.7.21,4
127,en.15.103.297.2009.1.4,5
127,en.3.353.28.2010.3.10,6
127,en.15.135.383.2009.7.22,7
127,en.15.204.145.2007.8.24,8
127,en.15.136.294.2009.7.22,9
127,en.15.132.109.2009.7.1,10
127,en.3.380.251.2007.7.19,11
127,en.15.86.478.2008.9.24,12
127,en.2.266.347.2009.6.9,13
127,en.15.78.348.2008.8.1,14
127,en.3.398.95.2007.10.18,15
127,en.15.73.221.2008.6.26,16
127,en.15.156.46.2009.12.11,17
127,en.3.395.122.2007.10.2,18
127,en.3.375.193.2007.6.18,19
127,en.15.90.350.2008.10.19,20
127,en.3.417.283.2008.1.9,21
127,en.15.128.236.2009.6.5,22
127,en.3.348.163.2010.2.6,23
127,en.15.184.26.2010.6.2,24
127,en.15.124.375.2009.5.15,25
127,en.15.78.254.2008.8.1,26
127,en.15.81.218.2008.8.22,27
127,en.3.414.331.2007.12.27,28
127,en.15.252.364.2008.3.23,29
127,en.15.229.243.2007.12.24,30
127,en.15.246.399.2008.3.1,31
127,en.15.113.66.2009.3.14,32
127,en.3.361.410.2010.4.27,33
127,en.3.356.123.2010.4.3,34
127,en.3.347.39.2010.1.31,35
127,en.15.167.44.2010.2.23,36
127,en.3.348.180.2010.2.7,37
127,en.15.186.417.2007.5.28,38
127,en.15.204.433.2007.8.23,39
127,en.15.104.166.2009.1.11,40
127,en.3.352.81.2010.3.9,41
127,en.3.352.171.2010.3.9,42
127,en.15.82.418.2008.8.29,43
127,en.3.381.44.2007.7.22,44
127,en.15.234.289.2008.1.14,45
127,en.15.167.10.2010.2.23,46
127,en.15.212.405.2007.10.6,47
127,en.15.111.91.2009.3.22,48
127,en.2.281.396.2009.9.10,49
127,en.2.264.480.2009.5.27,50
128,en.2.319.348.2010.6.6,1
128,en.13.56.214.2010.5.28,2
128,en.15.206.323.2007.8.31,3
128,en.15.86.41.2008.9.26,4
128,en.3.410.281.2007.12.6,5
128,en.15.225.130.2007.12.6,6
128,en.15.64.298.2008.4.28,7
128,en.13.31.487.2010.1.2,8
128,en.15.140.216.2009.8.22,9
128,en.3.349.179.1970.1.1,10
128,en.15.229.13.2007.12.24,11
128,en.13.41.376.2010.3.1,12
128,en.13.59.270.2010.6.11,13
128,en.15.254.371.2008.3.27,14
128,en.15.202.161.2007.8.15,15
128,en.13.55.72.2010.5.23,16
128,en.15.218.9.2007.11.1,17
128,en.2.320.122.2010.6.12,18
128,en.15.117.252.2009.2.22,19
128,en.13.30.67.2009.12.25,20
128,en.3.331.231.2009.10.9,21
128,en.15.61.167.2008.4.14,22
128,en.15.215.487.2007.10.22,23
128,en.15.107.10.2009.1.29,24
128,en.15.140.182.2009.8.22,25
128,en.15.90.112.2008.10.17,26
128,en.3.391.243.2007.9.14,27
128,en.3.391.415.2007.9.14,28
128,en.2.317.267.2010.5.28,29
128,en.13.41.179.2010.3.1,30
128,en.2.268.69.2009.6.17,31
128,en.15.85.74.2008.9.20,32
128,en.3.322.410.2009.8.9,33
128,en.3.373.157.2007.6.11,34
128,en.15.254.465.2008.3.28,35
128,en.2.291.172.2009.12.2,36
128,en.13.1.98.2009.6.1,37
128,en.3.356.250.2010.4.2,38
128,en.15.162.38.2010.1.23,39
128,en.15.115.3.2009.2.14,40
128,en.15.77.246.2008.7.23,41
128,en.13.55.90.2010.5.23,42
128,en.15.248.460.2008.3.8,43
128,en.15.245.165.2008.2.27,44
128,en.3.332.322.2009.10.21,45
128,en.3.398.321.2007.10.18,46
128,en.2.291.112.2009.11.30,47
128,en.3.378.247.2007.7.7,48
128,en.15.98.297.2008.12.2,49
128,en.3.388.266.2007.8.31,50
129,en.2.319.348.2010.6.6,1
129,en.13.56.214.2010.5.28,2
129,en.15.141.445.2009.8.29,3
129,en.2.298.269.1970.1.1,4
129,en.15.132.44.2009.6.26,5
129,en.15.132.121.2009.6.30,6
129,en.15.139.473.2009.8.12,7
129,en.15.132.155.2009.7.1,8
129,en.3.333.197.2009.10.27,9
129,en.2.271.457.2009.7.8,10
129,en.15.136.153.2009.7.20,11
129,en.2.305.365.2010.3.16,12
129,en.15.137.476.2009.7.31,13
129,en.2.271.199.2009.7.10,14
129,en.3.329.29.2009.9.25,15
129,en.2.277.79.2009.8.19,16
129,en.2.277.373.2009.8.19,17
129,en.13.8.466.2009.7.11,18
129,en.15.87.431.2008.10.1,19
129,en.3.331.99.2009.10.12,20
129,en.3.353.412.2010.3.13,21
129,en.2.289.319.2009.11.13,22
129,en.15.132.367.2009.6.28,23
129,en.3.343.140.2010.1.9,24
129,en.3.326.101.2009.9.6,25
129,en.2.282.345.2009.9.19,26
129,en.13.27.373.2009.11.21,27
129,en.13.8.280.2009.7.16,28
129,en.13.10.280.2009.7.29,29
129,en.15.140.5.2009.8.22,30
129,en.3.333.336.2009.10.23,31
129,en.2.277.462.2009.8.18,32
129,en.15.132.391.2009.6.28,33
129,en.13.55.2.2010.5.24,34
129,en.3.327.392.2009.9.12,35
129,en.13.8.358.2009.7.14,36
129,en.13.8.79.2009.7.14,37
129,en.3.329.53.2009.9.22,38
129,en.15.96.418.2008.11.20,39
129,en.15.132.99.2009.6.30,40
129,en.15.120.459.2009.4.24,41
129,en.15.132.331.2009.6.27,42
129,en.15.220.5.2007.11.10,43
129,en.15.151.290.2009.11.7,44
129,en.13.8.261.2009.7.13,45
129,en.13.3.293.2009.6.11,46
129,en.15.136.376.2009.7.25,47
129,en.2.283.328.2009.9.29,48
129,en.2.283.356.2009.9.29,49
129,en.15.132.117.2009.7.1,50
130,en.13.56.214.2010.5.28,1
130,en.2.319.348.2010.6.6,2
130,en.3.378.475.2007.7.9,3
130,en.15.68.138.2008.5.25,4
130,en.15.236.383.2008.1.22,5
130,en.15.69.149.2008.5.31,6
