Aplha	Beta	Gamma	mAP@20	avgNDCG@20
1	0.5	0	0.369	0.511
queryID	AvgPrecision@20	NDCG@20
126	0.52	0.598
127	0.456	0.568
128	0.335	0.59
129	0.585	0.655
130	0.359	0.53
131	0.5	0.599
132	0.157	0.369
133	0.673	0.682
134	0.195	0.425
135	0.000	0.000
136	0.627	0.693
137	0.303	0.526
138	0.072	0.293
139	0.536	0.597
140	0.647	0.719
141	0.203	0.478
142	0.526	0.701
143	0.69	0.684
144	0.464	0.63
145	0.371	0.502
146	0.000	0.000
147	0.335	0.518
148	0.69	0.736
149	0.274	0.539
150	0.412	0.539
151	0.69	0.714
152	0.608	0.71
153	0.59	0.7
154	0.105	0.631
155	0.427	0.587
156	0.52	0.66
157	0.124	0.375
158	0.044	0.315
159	0.337	0.503
160	0.081	0.317
161	0.281	0.46
162	0.69	0.706
163	0.577	0.615
164	0.497	0.657
165	0.197	0.455
166	0.025	0.27
167	0.69	0.686
168	0.64	0.663
169	0.000	0.000
170	0.227	0.476
171	0.000	0.000
172	0.535	0.702
173	0.019	0.245
174	0.031	0.254
175	0.594	0.666
