Aplha	Beta	Gamma	mAP@20	avgNDCG@20
1	1	0.5	0.456	0.607
queryID	AvgPrecision@20	NDCG@20
126	0.615	0.715
127	0.685	0.775
128	0.342	0.6
129	0.633	0.768
130	0.292	0.551
131	0.625	0.743
132	0.281	0.553
133	0.69	0.74
134	0.32	0.553
135	0.000	0.000
136	0.679	0.752
137	0.57	0.697
138	0.306	0.585
139	0.69	0.74
140	0.69	0.78
141	0.314	0.584
142	0.504	0.69
143	0.69	0.74
144	0.558	0.687
145	0.468	0.667
146	0.000	0.000
147	0.592	0.708
148	0.69	0.783
149	0.237	0.504
150	0.652	0.698
151	0.69	0.743
152	0.69	0.775
153	0.683	0.76
154	0.105	0.631
155	0.646	0.766
156	0.525	0.686
157	0.337	0.562
158	0.397	0.592
159	0.3	0.557
160	0.058	0.304
161	0.559	0.696
162	0.69	0.751
163	0.657	0.735
164	0.585	0.729
165	0.246	0.573
166	0.025	0.27
167	0.69	0.75
168	0.69	0.743
169	0.000	0.000
170	0.238	0.492
171	0.000	0.000
172	0.587	0.722
173	0.409	0.62
174	0.209	0.537
175	0.652	0.728
