Aplha	Beta	Gamma	mAP@20	avgNDCG@20
0.5	0.5	0.5	0.461	0.614
queryID	AvgPrecision@20	NDCG@20
126	0.615	0.719
127	0.683	0.771
128	0.336	0.598
129	0.633	0.768
130	0.291	0.546
131	0.583	0.706
132	0.32	0.579
133	0.688	0.735
134	0.32	0.553
135	0.005	0.235
136	0.688	0.758
137	0.566	0.695
138	0.325	0.597
139	0.69	0.743
140	0.69	0.782
141	0.5	0.693
142	0.504	0.69
143	0.69	0.74
144	0.558	0.687
145	0.472	0.614
146	0.000	0.000
147	0.566	0.694
148	0.69	0.787
149	0.24	0.49
150	0.645	0.697
151	0.69	0.743
152	0.69	0.776
153	0.652	0.754
154	0.105	0.631
155	0.652	0.769
156	0.525	0.686
157	0.359	0.575
158	0.341	0.574
159	0.307	0.562
160	0.064	0.308
161	0.599	0.709
162	0.69	0.758
163	0.661	0.737
164	0.585	0.729
165	0.246	0.573
166	0.025	0.27
167	0.69	0.753
168	0.69	0.743
169	0.000	0.000
170	0.243	0.495
171	0.000	0.000
172	0.587	0.722
173	0.486	0.67
174	0.195	0.529
175	0.682	0.745
