Aplha	Beta	Gamma	mAP@20	avgNDCG@20
1	0.5	0	0.447	0.597
queryID	AvgPrecision@20	NDCG@20
126	0.564	0.642
127	0.663	0.758
128	0.359	0.61
129	0.585	0.715
130	0.349	0.586
131	0.585	0.692
132	0.219	0.52
133	0.682	0.738
134	0.407	0.587
135	0.000	0.000
136	0.665	0.74
137	0.52	0.677
138	0.354	0.608
139	0.652	0.718
140	0.685	0.771
141	0.247	0.537
142	0.504	0.69
143	0.69	0.736
144	0.554	0.686
145	0.441	0.652
146	0.000	0.000
147	0.551	0.696
148	0.69	0.772
149	0.235	0.502
150	0.619	0.685
151	0.69	0.743
152	0.69	0.768
153	0.682	0.765
154	0.105	0.631
155	0.579	0.722
156	0.525	0.686
157	0.301	0.551
158	0.543	0.633
159	0.341	0.589
160	0.063	0.296
161	0.547	0.679
162	0.69	0.741
163	0.669	0.725
164	0.585	0.719
165	0.246	0.573
166	0.025	0.27
167	0.69	0.744
168	0.673	0.734
169	0.000	0.000
170	0.238	0.492
171	0.000	0.000
172	0.587	0.722
173	0.202	0.477
174	0.215	0.541
175	0.629	0.707
